NO_SUBSTANCIA;TP_SUBSTANCIA;NU_LMR;CO_MONOGRAFIA;DS_INGREDIENTE_ATIVO;NU_CAS;ST_AUTORIZADO;NO_CULTURA;TIPO_LIMITE;NO_VALOR_REFERENCIA;NO_UNIDADE_MEDIDA;DS_ATO_LEGAL;DT_INICIO_VIGENCIA;DT_FIM_VIGENCIA
TIAMETOXAM;Quimico;0.030;T48;TIAMETOXAM;153719234;SIM;Algodão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 772, DE 24 DE MARÇO DE 2016;28/03/2016 00:00:00.000000;07/06/2020 00:00:00.000000
TIAMETOXAM;Quimico;0.030;T48;TIAMETOXAM;153719234;SIM;Berinjela;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO RE Nº 976, DE 15 DE ABRIL DE 2019;17/04/2019 00:00:00.000000;
TIAMETOXAM;Quimico;0.200;T48;TIAMETOXAM;153719234;SIM;Ervilha;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
TIAMETOXAM;Quimico;0.020;T48;TIAMETOXAM;153719234;SIM;Feijão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
TRIFLOXISTROBINA;Quimico;0.200;T54;TRIFLOXISTROBINA;141517217;SIM;Arroz;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
TRIFLOXISTROBINA;Quimico;0.050;T54;TRIFLOXISTROBINA;141517217;SIM;Banana;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 225, DE 26 DE JANEIRO DE 2005;27/01/2005 00:00:00.000000;
TRIFLOXISTROBINA;Quimico;0.700;T54;TRIFLOXISTROBINA;141517217;SIM;Brócolis;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 663, DE 11 DE MARÇO DE 2016;14/03/2016 00:00:00.000000;
TRIFLOXISTROBINA;Quimico;0.100;T54;TRIFLOXISTROBINA;141517217;SIM;Mandioquinha-salsa / Batata Baroa;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 663, DE 11 DE MARÇO DE 2016;14/03/2016 00:00:00.000000;
TRIFLOXISTROBINA;Quimico;0.500;T54;TRIFLOXISTROBINA;141517217;SIM;Pêssego;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 663, DE 11 DE MARÇO DE 2016;14/03/2016 00:00:00.000000;
TRIFLOXISTROBINA;Quimico;0.100;T54;TRIFLOXISTROBINA;141517217;SIM;Pimentão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 663, DE 11 DE MARÇO DE 2016;14/03/2016 00:00:00.000000;
TRIFLOXISTROBINA;Quimico;0.050;T54;TRIFLOXISTROBINA;141517217;SIM;Trigo;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
TRIFLUMIZOL;Quimico;0.100;T36;TRIFLUMIZOL;68694111;SIM;Melão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
CAPTANA;Quimico;15.000;C02;CAPTANA;133062;SIM;Alfafa;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
CAPTANA;Quimico;2.000;C02;CAPTANA;133062;SIM;Melão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
CAPTANA;Quimico;15.000;C02;CAPTANA;133062;SIM;Pêssego;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
CARBARIL;Quimico;0.500;C03;CARBARIL;63252;SIM;Abacaxi;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
CARBARIL;Quimico;0.200;C03;CARBARIL;63252;SIM;Alho;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
CARBARIL;Quimico;0.100;C03;CARBARIL;63252;SIM;Cebola;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
CARBOSSULFANO;Quimico;0.010;C26;CARBOSSULFANO;55285148;SIM;Côco;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;09/09/2018 00:00:00.000000
CARBOSSULFANO;Quimico;0.100;C26;CARBOSSULFANO;55285148;SIM;Mamão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;09/09/2018 00:00:00.000000
CARBOSSULFANO;Quimico;0.050;C26;CARBOSSULFANO;55285148;SIM;Tomate;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;09/09/2018 00:00:00.000000
CARBOXINA;Quimico;0.200;C05;CARBOXINA;5234684;SIM;Arroz;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
Carfentrazona-etílica;Quimico;0.020;C49;Carfentrazona-etílica;128639021;SIM;Arroz;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 1.896, DE 15 DE JULHO DE 2016;18/07/2016 00:00:00.000000;
Carfentrazona-etílica;Quimico;0.020;C49;Carfentrazona-etílica;128639021;SIM;Batata;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
Carfentrazona-etílica;Quimico;0.050;C49;Carfentrazona-etílica;128639021;SIM;Café;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
CLOROTALONIL;Quimico;0.100;C18;CLOROTALONIL;1897456;SIM;Melão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;24/05/2009 00:00:00.000000
CLOROTALONIL;Quimico;0.500;C18;CLOROTALONIL;1897456;SIM;Repolho;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 2.903, DE 18 DE SETEMBRO DE 2007;19/09/2007 00:00:00.000000;
CLOROTALONIL;Quimico;5.000;C18;CLOROTALONIL;1897456;SIM;Uva;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
DIFENOCONAZOL;Quimico;0.500;D36;DIFENOCONAZOL;;SIM;Café;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
DIFENOCONAZOL;Quimico;0.500;D36;DIFENOCONAZOL;;SIM;Caju;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 1.641, DE 21 DE JUNHO DE 2018;25/06/2018 00:00:00.000000;
DIFENOCONAZOL;Quimico;0.100;D36;DIFENOCONAZOL;;SIM;Côco;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
DIFENOCONAZOL;Quimico;0.500;D36;DIFENOCONAZOL;;SIM;Ervilha;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
DIFLUBENZUROM;Quimico;0.200;D17;DIFLUBENZUROM;35367385;SIM;Feijão caupi;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 4.711, DE 5 DE DEZEMBRO DE 2014;08/12/2014 00:00:00.000000;
DIFLUBENZUROM;Quimico;0.200;D17;DIFLUBENZUROM;35367385;SIM;Lentilha;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 4.711, DE 5 DE DEZEMBRO DE 2014;08/12/2014 00:00:00.000000;
Carfentrazona-etílica;Quimico;0.050;C49;Carfentrazona-etílica;128639021;SIM;Cana-de-açúcar;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 1.896, DE 15 DE JULHO DE 2016;18/07/2016 00:00:00.000000;
Carfentrazona-etílica;Quimico;0.050;C49;Carfentrazona-etílica;128639021;SIM;Citros;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
Casugamicina;Quimico;0.010;C07;Casugamicina;6980183;SIM;Agrião;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 3.449, DE 08 DE SETEMBRO DE 2014;09/09/2014 00:00:00.000000;
Casugamicina;Quimico;0.050;C07;Casugamicina;6980183;SIM;Alho;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 3.449, DE 08 DE SETEMBRO DE 2014;09/09/2014 00:00:00.000000;
Casugamicina;Quimico;0.010;C07;Casugamicina;6980183;SIM;Almeirão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 3.449, DE 08 DE SETEMBRO DE 2014;09/09/2014 00:00:00.000000;
Casugamicina;Quimico;0.010;C07;Casugamicina;6980183;SIM;Aveia;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 1.134, DE 3 DE MAIO DE 2018;07/05/2018 00:00:00.000000;
Casugamicina;Quimico;0.010;C07;Casugamicina;6980183;SIM;Couve chinesa;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 3.449, DE 08 DE SETEMBRO DE 2014;09/09/2014 00:00:00.000000;
Casugamicina;Quimico;0.010;C07;Casugamicina;6980183;SIM;Espinafre;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 3.449, DE 08 DE SETEMBRO DE 2014;09/09/2014 00:00:00.000000;
BETA-CIFLUTRINA;Quimico;1.000;C61;BETA-CIFLUTRINA;1820573270;SIM;Couve;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
BETA-CIFLUTRINA;Quimico;0.500;C61;BETA-CIFLUTRINA;1820573270;SIM;Milho;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;04/03/2007 00:00:00.000000
BETA-CIFLUTRINA;Quimico;0.100;C61;BETA-CIFLUTRINA;1820573270;SIM;Tomate;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
BETA-CIFLUTRINA;Quimico;0.050;C61;BETA-CIFLUTRINA;1820573270;SIM;Trigo;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 522, DE 27 DE FEVEREIRO DE 2007;05/03/2007 00:00:00.000000;
BETA-CIPERMETRINA;Quimico;0.020;C59;BETA-CIPERMETRINA;65731842;SIM;Alface;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 2.340, DE 17 DE AGOSTO DE 2015;19/08/2015 00:00:00.000000;27/05/2018 00:00:00.000000
BETA-CIPERMETRINA;Quimico;0.020;C59;BETA-CIPERMETRINA;65731842;SIM;Couve-de-bruxelas;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 2.340, DE 17 DE AGOSTO DE 2015;19/08/2015 00:00:00.000000;
BETA-CIPERMETRINA;Quimico;0.020;C59;BETA-CIPERMETRINA;65731842;SIM;Cupuaçu;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 2.340, DE 17 DE AGOSTO DE 2015;19/08/2015 00:00:00.000000;27/05/2018 00:00:00.000000
BETA-CIPERMETRINA;Quimico;0.020;C59;BETA-CIPERMETRINA;65731842;SIM;Espinafre;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 2.340, DE 17 DE AGOSTO DE 2015;19/08/2015 00:00:00.000000;27/05/2018 00:00:00.000000
BETA-CIPERMETRINA;Quimico;0.020;C59;BETA-CIPERMETRINA;65731842;SIM;Feijão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 4.484, DE 30 DE SETEMBRO DE 2010;04/10/2010 00:00:00.000000;27/05/2018 00:00:00.000000
BETA-CIPERMETRINA;Quimico;0.020;C59;BETA-CIPERMETRINA;65731842;SIM;Mostarda;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 2.340, DE 17 DE AGOSTO DE 2015;19/08/2015 00:00:00.000000;27/05/2018 00:00:00.000000
BETA-CIPERMETRINA;Quimico;0.020;C59;BETA-CIPERMETRINA;65731842;SIM;Trigo;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 4.484, DE 30 DE SETEMBRO DE 2010;04/10/2010 00:00:00.000000;27/05/2018 00:00:00.000000
BIFENTRINA;Quimico;0.500;B26;BIFENTRINA;82657043;SIM;Alface;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE N° 865, DE 7 DE ABRIL DE 2016;11/04/2016 00:00:00.000000;05/05/2020 00:00:00.000000
BIFENTRINA;Quimico;0.700;B26;BIFENTRINA;82657043;SIM;Centeio;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 287, DE 1º DE FEVEREIRO DE 2018;05/02/2018 00:00:00.000000;
BIFENTRINA;Quimico;1.000;B26;BIFENTRINA;82657043;SIM;Cevada;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 287, DE 1º DE FEVEREIRO DE 2018;05/02/2018 00:00:00.000000;
BIFENTRINA;Quimico;0.020;B26;BIFENTRINA;82657043;SIM;Pepino;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
BITERTANOL;Quimico;0.100;B24;BITERTANOL;55179312;NÃO;Feijão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;21/07/2019 00:00:00.000000
BITERTANOL;Quimico;0.100;B24;BITERTANOL;55179312;NÃO;Melão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;21/07/2019 00:00:00.000000
Brometo de metila;Quimico;20.000;B22;Brometo de metila;74839;SIM;Damasco;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
CIPERMETRINAS (TODOS OS ISÔMEROS);Quimico;0.020;;CIPERMETRINAS (TODOS OS ISÔMEROS);;SIM;Couve chinesa;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 1.350, DE 25 DE MAIO DE 2018;28/05/2018 00:00:00.000000;
CIPERMETRINAS (TODOS OS ISÔMEROS);Quimico;0.020;;CIPERMETRINAS (TODOS OS ISÔMEROS);;SIM;Mamão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 1.350, DE 25 DE MAIO DE 2018;28/05/2018 00:00:00.000000;
CIPERMETRINAS (TODOS OS ISÔMEROS);Quimico;0.020;;CIPERMETRINAS (TODOS OS ISÔMEROS);;SIM;Mandioquinha-salsa / Batata Baroa;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 1.350, DE 25 DE MAIO DE 2018;28/05/2018 00:00:00.000000;
CIPERMETRINAS (TODOS OS ISÔMEROS);Quimico;0.020;;CIPERMETRINAS (TODOS OS ISÔMEROS);;SIM;Romã;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 1.350, DE 25 DE MAIO DE 2018;28/05/2018 00:00:00.000000;18/09/2019 00:00:00.000000
CIPROCONAZOL;Quimico;0.020;C36;CIPROCONAZOL;94361065;SIM;Alho;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 447, DE 10 DE FEVEREIRO DE 2010;11/02/2010 00:00:00.000000;
CIPROCONAZOL;Quimico;0.010;C36;CIPROCONAZOL;94361065;SIM;Cevada;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;29/04/2007 00:00:00.000000
CIPRODINIL;Quimico;5.000;C47;CIPRODINIL;121552612;SIM;Alho;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO- RE N° 2.364, DE 23 DE AGOSTO DE 2019;26/08/2019 00:00:00.000000;
CIPRODINIL;Quimico;0.050;C47;CIPRODINIL;121552612;SIM;Cebola;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
CIPRODINIL;Quimico;1.000;C47;CIPRODINIL;121552612;SIM;Maçã;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
CIPRODINIL;Quimico;2.000;C47;CIPRODINIL;121552612;SIM;Morango;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO- RE N° 2.364, DE 23 DE AGOSTO DE 2019;26/08/2019 00:00:00.000000;
CLORANTRANILIPROLE;Quimico;0.700;C70;CLORANTRANILIPROLE;500008457;SIM;Brócolis;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 5.242, DE 12 DE DEZEMBRO DE 2012;13/12/2012 00:00:00.000000;
CLORANTRANILIPROLE;Quimico;0.020;C70;CLORANTRANILIPROLE;500008457;SIM;Girassol;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 157, DE 19 DE JANEIRO DE 2010;20/01/2010 00:00:00.000000;
Casugamicina;Quimico;0.010;C07;Casugamicina;6980183;SIM;Milho;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO  Nº 707, DE 28 DE FEVEREIRO DE 2013;01/03/2013 00:00:00.000000;
Casugamicina;Quimico;0.050;C07;Casugamicina;6980183;SIM;Nabo;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 3.449, DE 08 DE SETEMBRO DE 2014;09/09/2014 00:00:00.000000;
Casugamicina;Quimico;0.050;C07;Casugamicina;6980183;SIM;Pimenta;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 3.449, DE 08 DE SETEMBRO DE 2014;09/09/2014 00:00:00.000000;
Casugamicina;Quimico;0.030;C07;Casugamicina;6980183;SIM;Tomate;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
Casugamicina;Quimico;0.010;C07;Casugamicina;6980183;SIM;Trigo;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 1.134, DE 3 DE MAIO DE 2018;07/05/2018 00:00:00.000000;
Casugamicina;Quimico;0.010;C07;Casugamicina;6980183;SIM;Triticale;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 1.134, DE 3 DE MAIO DE 2018;07/05/2018 00:00:00.000000;
CIANAZINA;Quimico;0.010;C08;CIANAZINA;21725462;NÃO;Algodão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;21/07/2019 00:00:00.000000
Ciantraniliprole;Quimico;0.070;C74;Ciantraniliprole;736994631;SIM;Abóbora;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº  902, DE 26 DE MARÇO DE 2015;27/03/2015 00:00:00.000000;
Ciantraniliprole;Quimico;0.500;C74;Ciantraniliprole;736994631;SIM;Citros;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº  902, DE 26 DE MARÇO DE 2015;27/03/2015 00:00:00.000000;
Ciantraniliprole;Quimico;0.500;C74;Ciantraniliprole;736994631;SIM;Espinafre;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº  902, DE 26 DE MARÇO DE 2015;27/03/2015 00:00:00.000000;
Ciantraniliprole;Quimico;0.010;C74;Ciantraniliprole;736994631;SIM;Feijão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº  902, DE 26 DE MARÇO DE 2015;27/03/2015 00:00:00.000000;
CIAZOFAMIDA;Quimico;0.050;C66;CIAZOFAMIDA;120116883;SIM;Batata;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
CIAZOFAMIDA;Quimico;0.100;C66;CIAZOFAMIDA;120116883;SIM;Brócolis;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 3.752, DE 22 DE SETEMBRO DE 2014;23/09/2014 00:00:00.000000;
CIAZOFAMIDA;Quimico;0.100;C66;CIAZOFAMIDA;120116883;SIM;Melão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 2.474, DE 08 DE JUNHO DE 2012;11/06/2012 00:00:00.000000;
CIAZOFAMIDA;Quimico;0.100;C66;CIAZOFAMIDA;120116883;SIM;Repolho;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 3.752, DE 22 DE SETEMBRO DE 2014;23/09/2014 00:00:00.000000;
CIFLUTRINA;Quimico;0.010;C30;CIFLUTRINA;68359375;SIM;Algodão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
CIFLUTRINA;Quimico;0.010;C30;CIFLUTRINA;68359375;SIM;Feijão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
CIMOXANIL;Quimico;0.100;C09;CIMOXANIL;57966957;SIM;Abobrinha;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 364, DE 12 DE FEVEREIRO DE 2016;15/02/2016 00:00:00.000000;
CIPERMETRINA;Quimico;0.300;C10;CIPERMETRINA;52315078;SIM;Café;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
CIPERMETRINA;Quimico;0.050;C10;CIPERMETRINA;52315078;SIM;Cebola;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
CIPERMETRINA;Quimico;0.050;C10;CIPERMETRINA;52315078;SIM;Milho;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
CIPERMETRINA;Quimico;0.050;C10;CIPERMETRINA;52315078;SIM;Repolho;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
