NO_SUBSTANCIA;TP_SUBSTANCIA;NU_LMR;CO_MONOGRAFIA;DS_INGREDIENTE_ATIVO;NU_CAS;ST_AUTORIZADO;NO_CULTURA;TIPO_LIMITE;NO_VALOR_REFERENCIA;NO_UNIDADE_MEDIDA;DS_ATO_LEGAL;DT_INICIO_VIGENCIA;DT_FIM_VIGENCIA
Tiazopir;Quimico;0.020;T45;Tiazopir;117718602;SIM;Cana-de-açúcar;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
TIOFANATO-METÍLICO;Quimico;0.200;T14;TIOFANATO-METÍLICO;23564058;SIM;Algodão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 3.751, DE 04 DE DEZEMBRO DE 2007;05/12/2007 00:00:00.000000;
TIOFANATO-METÍLICO;Quimico;0.050;T14;TIOFANATO-METÍLICO;23564058;SIM;Berinjela;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 3.751, DE 04 DE DEZEMBRO DE 2007;05/12/2007 00:00:00.000000;
TIOFANATO-METÍLICO;Quimico;0.500;T14;TIOFANATO-METÍLICO;23564058;SIM;Framboesa;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 1.141, DE 3 DE MAIO DE 2018;07/05/2018 00:00:00.000000;
TIOFANATO-METÍLICO;Quimico;0.300;T14;TIOFANATO-METÍLICO;23564058;SIM;Melancia;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 3.751, DE 04 DE DEZEMBRO DE 2007;05/12/2007 00:00:00.000000;
TIOFANATO-METÍLICO;Quimico;0.500;T14;TIOFANATO-METÍLICO;23564058;SIM;Melão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 3.751, DE 04 DE DEZEMBRO DE 2007;05/12/2007 00:00:00.000000;
TIOFANATO-METÍLICO;Quimico;5.000;T14;TIOFANATO-METÍLICO;23564058;SIM;Morango;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;04/12/2007 00:00:00.000000
TIOFANATO-METÍLICO;Quimico;0.500;T14;TIOFANATO-METÍLICO;23564058;SIM;Seriguela;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 1.141, DE 3 DE MAIO DE 2018;07/05/2018 00:00:00.000000;
TIOFANATO-METÍLICO;Quimico;0.010;T14;TIOFANATO-METÍLICO;23564058;SIM;Sorgo;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 5.238, DE 12 DE DEZEMBRO DE 2012;13/12/2012 00:00:00.000000;
TIOFANATO-METÍLICO;Quimico;5.000;T14;TIOFANATO-METÍLICO;23564058;SIM;Uva;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;04/12/2007 00:00:00.000000
